MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,Age,BathsTotal,BedsTotal,BathsFull,BathsHalf,DOM,Year_List,Year_Sold,List_Price,Sale_Price,Listing_Date,Sale_Date,Year_Built
TM21-733902,21458 Providencia ST ,Woodland Hills,91364,Los Angeles,0,1170,6714,69,1,3,1,0,9,2021,2021,835000,1010000,5/18/2021 0:00,5/27/2021 0:00,1952
ME221051936,508 Arlene DR A,Roseville,95678,Placer,9,1120,3115,43,2,2,2,0,4,2021,2021,355000,375000,5/20/2021 0:00,5/24/2021 0:00,1978
CNSR21115246,28666 Meadowgrass DR ,Castaic,91384,Los Angeles,0,1836,11200,33,3,4,2,1,1,2021,2021,680000,680000,5/27/2021 0:00,5/28/2021 0:00,1988
CRPTP2103304,1736 Hermes St ,San Diego,92154,San Diego,5,1573,6800,58,2,4,2,0,8,2021,2021,700000,700000,5/12/2021 0:00,5/20/2021 0:00,1963
BA321025006,1550 Bungalow LN ,Petaluma,94954,Sonoma,20,2128,6098,48,3,4,3,0,0,2021,2021,915000,925000,5/27/2021 0:00,5/27/2021 0:00,1973
ML81845277,1251 Chamberlin CT ,Campbell,95008,Santa Clara,7,3170,9010,17,3,4,3,0,8,2021,2021,2700000,2875000,5/21/2021 0:00,5/29/2021 0:00,2004
CRPW21084729,9008 Firebird AVE ,Whittier,90605,Los Angeles,0,1832,6357,70,2,3,2,0,19,2021,2021,720000,720000,5/7/2021 0:00,5/26/2021 0:00,1951
ME221055154,237 Cavalier ,Lodi,95240,San Joaquin,10,1721,4750,2,2,3,2,0,4,2021,2021,499999,550000,5/20/2021 0:00,5/24/2021 0:00,2019
CRNDP2105586,39785 Knollridge DR ,Temecula,92591,Riverside,1,1458,6098,33,3,4,2,1,22,2021,2021,510000,540000,5/4/2021 0:00,5/26/2021 0:00,1988
ME202002380,4409 Crown Valley Way ,Modesto,95356,Stanislaus,12,3454,5998,20,3,4,3,0,33,2020,2020,580000,560000,8/9/2020 0:00,9/11/2020 0:00,2001
CREV21109075,34914 County Line RD ,Yucaipa,92399,San Bernardino,3,1168,14950,26,3,3,2,1,3,2021,2021,414900,420000,5/21/2021 0:00,5/24/2021 0:00,1995
ME221054064,33850 S Bird Road ,Tracy,95304,San Joaquin,10,2385,54450,33,2,3,2,0,5,2021,2021,1085000,1100000,5/19/2021 0:00,5/24/2021 0:00,1988
ME221053947,457 Selkirk Ranch RD ,Angels Camp,95222,Calaveras,39,2263,9583,22,3,3,3,0,6,2021,2021,750000,725000,5/21/2021 0:00,5/27/2021 0:00,1999
ML81844996,22580 Murietta RD ,Salinas,93908,Monterey,24,1687,10778,42,2,3,2,0,10,2021,2021,850000,830000,5/20/2021 0:00,5/30/2021 0:00,1979
CRIV21111956,8850 Buckeye DR ,Fontana,92335,San Bernardino,3,1260,7740,32,2,3,2,0,5,2021,2021,489000,510000,5/25/2021 0:00,5/30/2021 0:00,1989
CNSR21069603,2163 Willowbrook AVE ,Palmdale,93551,Los Angeles,0,1457,7280,34,2,3,2,0,10,2021,2021,455000,480000,5/15/2021 0:00,5/25/2021 0:00,1987
ME202101194,1361 Eden WAY ,Yuba City,95993,Sutter,23,1724,9148,40,2,3,2,0,7,2021,2021,429900,429900,5/18/2021 0:00,5/25/2021 0:00,1981
ML81845753,833 Loma Prieta DR ,Aptos,95003,Santa Cruz,25,1716,7971,30,3,3,2,1,0,2021,2021,799000,799000,5/25/2021 0:00,5/25/2021 0:00,1991
CREV21111599,1021 Greenway DR ,Big Bear City,92314,San Bernardino,3,1782,7500,15,3,4,3,0,6,2021,2021,425000,450000,5/24/2021 0:00,5/30/2021 0:00,2006
CRIV21109620,2985 Cody CT ,Riverside,92503,Riverside,1,1367,6970,36,2,3,2,0,1,2021,2021,499000,540000,5/21/2021 0:00,5/22/2021 0:00,1985
CROC21106069,19221 Sierra Isabelle RD ,Irvine,92603,Orange,2,2062,7841,49,2,3,2,0,8,2021,2021,1550000,1600000,5/18/2021 0:00,5/26/2021 0:00,1972
CRCV21114916,2945 Jo An DR ,San Bernardino,92407,San Bernardino,3,1424,7276,35,2,4,2,0,1,2021,2021,425000,445000,5/27/2021 0:00,5/28/2021 0:00,1986
CRNP21068210,1975 Port Bristol CIR ,Newport Beach,92660,Orange,2,4522,7581,0,6,5,5,1,0,2021,2021,4995000,4995000,4/1/2021 0:00,4/1/2021 0:00,2021
ME202100571,27854 mandarin ,Hayward,94544,Alameda,8,1000,5009,67,2,3,2,0,11,2021,2021,700000,700000,3/5/2021 0:00,3/16/2021 0:00,1954
ME221053536,5860 Kahara CT ,Sacramento,95822,Sacramento,4,1155,5227,49,2,2,2,0,8,2021,2021,400000,465500,5/21/2021 0:00,5/29/2021 0:00,1972
ME202002747,1355 Orange ST ,Red Bluff,96080,Tehama,40,1134,6665,52,2,4,2,0,2,2020,2020,225000,233000,9/16/2020 0:00,9/18/2020 0:00,1969
ME202001737,256 Tamarack WAY ,La Porte,96103,Plumas,44,1260,15682,14,2,2,2,0,67,2020,2020,299950,299950,6/13/2020 0:00,8/19/2020 0:00,2007
CRCV21105072,14539 Woodruff AVE ,Bellflower,90706,Los Angeles,0,2542,6071,4,2,4,2,0,5,2021,2021,949950,975000,5/18/2021 0:00,5/23/2021 0:00,2017
CC40951056,100 Goldhunter Ct ,Foster City,94404,San Mateo,13,2380,9120,48,3,4,2,1,6,2021,2021,2298000,2701000,5/21/2021 0:00,5/27/2021 0:00,1973
ML81845152,58 Chestnut ST ,San Carlos,94070,San Mateo,13,2070,7975,66,2,3,2,0,5,2021,2021,2398000,2650000,5/21/2021 0:00,5/26/2021 0:00,1955
ML81845906,1007 Forest CT ,Palo Alto,94301,Santa Clara,7,2377,6789,46,2,3,2,0,0,2021,2021,4100000,4100000,5/26/2021 0:00,5/26/2021 0:00,1975
CNSR21107901,1869 Marney AVE ,Los Angeles,90032,Los Angeles,0,945,4373,67,1,3,1,0,18,2021,2021,685000,675000,5/10/2021 0:00,5/28/2021 0:00,1954
ME201903237,1800 Aristocracy DR ,La Porte,95981,Yuba,18,1440,9583,43,3,3,2,1,269,2019,2020,243000,233500,9/18/2019 0:00,6/13/2020 0:00,1978
TM21-733022,115 Northstar Mall ,Marina Del Rey,90292,Los Angeles,0,2751,2788,36,3,3,2,1,1,2021,2021,2545000,2595750,5/19/2021 0:00,5/20/2021 0:00,1985
CC40950714,4209 Salgado Ave ,Oakley,94561,Contra Costa,6,1167,6060,38,2,3,2,0,0,2021,2021,522000,522000,5/20/2021 0:00,5/20/2021 0:00,1983
CC40950955,3538 Aldwych Way ,San Ramon,94582,Contra Costa,6,2384,4418,15,3,3,3,0,4,2021,2021,1425000,1670000,5/21/2021 0:00,5/25/2021 0:00,2006
SF421552705,445 Beacon ST ,San Francisco,94131,San Francisco,21,2700,3640,34,4,3,3,1,2,2021,2021,2495000,2950000,5/20/2021 0:00,5/22/2021 0:00,1987
CRPTP2103447,1444 MURRAY AVENUE ,El Cajon,92020,San Diego,5,2176,17000,79,2,4,2,0,6,2021,2021,849900,860000,5/20/2021 0:00,5/26/2021 0:00,1942
ME221056358,2117 Wexford LN ,Atwater,95301,Merced,22,1016,6098,20,2,3,2,0,8,2021,2021,299900,320000,5/20/2021 0:00,5/28/2021 0:00,2001
CRTR21108886,4913 N Burnaby DR ,Covina,91724,Los Angeles,0,1196,7643,60,2,3,2,0,6,2021,2021,660000,680000,5/20/2021 0:00,5/26/2021 0:00,1961
TM21-733170,1050 Iliff ST ,Pacific Palisades,90272,Los Angeles,0,1802,6499,71,2,5,2,0,6,2021,2021,2995000,3000000,5/17/2021 0:00,5/23/2021 0:00,1950
ML81844803,1496 Morning Star DR ,Morgan Hill,95037,Santa Clara,7,2585,10233,15,3,5,3,0,7,2021,2021,1395000,1750000,5/20/2021 0:00,5/27/2021 0:00,2006
CRPW21102140,5329 E Pamela Kay LN ,Anaheim,92807,Orange,2,1608,7350,56,1,4,1,0,5,2021,2021,709000,709000,5/7/2021 0:00,5/12/2021 0:00,1965
BE40950085,3125 Berkshire Ct ,Pleasanton,94588,Alameda,8,3026,11304,46,3,5,3,0,3,2021,2021,1649888,2075000,5/21/2021 0:00,5/24/2021 0:00,1975
CRIV21105771,24050 Canyon Lake DR ,,92587,Riverside,1,2277,7405,32,3,3,3,0,37,2021,2021,725000,740000,4/18/2021 0:00,5/25/2021 0:00,1989
ME221053753,3959 Wildrose WAY ,Sacramento,95826,Sacramento,4,1806,6534,46,3,3,2,1,4,2021,2021,415000,450000,5/21/2021 0:00,5/25/2021 0:00,1975
CNSR21108460,25817 Shady Oak LN ,Valencia,91381,Los Angeles,0,5621,20092,17,6,5,6,0,3,2021,2021,2695000,2800000,5/20/2021 0:00,5/23/2021 0:00,2004
ME221041262,2669 Marty WAY ,Sacramento,95818,Sacramento,4,1386,5227,83,1,2,1,0,6,2021,2021,695000,722000,5/20/2021 0:00,5/26/2021 0:00,1938
ME221056727,2012 Majestic Oak CT ,Modesto,95355,Stanislaus,12,1845,8721,36,2,3,2,0,1,2021,2021,434900,450000,5/24/2021 0:00,5/25/2021 0:00,1985
EB40951001,201 Schooner Way ,Vallejo,94590,Solano,16,1808,6098,41,2,3,2,0,7,2021,2021,590000,645000,5/21/2021 0:00,5/28/2021 0:00,1980
ME202100062,953 vernon berry ln ,Tracy,95376,San Joaquin,10,2407,4760,22,3,4,3,0,10,2021,2021,529999,600000,1/9/2021 0:00,1/19/2021 0:00,1999
ME221033623,28 Primrose CT ,Tracy,95376,San Joaquin,10,1511,4495,23,3,3,2,1,7,2021,2021,595000,620000,5/19/2021 0:00,5/26/2021 0:00,1998
CRPW21082529,5348 W 126th ST ,Hawthorne,90250,Los Angeles,0,1556,5060,71,1,3,1,0,7,2021,2021,969000,1030000,5/19/2021 0:00,5/26/2021 0:00,1950
ML81844505,370 Fall Creek DR ,Felton,95018,Santa Cruz,25,1348,13504,80,2,3,2,0,7,2021,2021,859000,975000,5/18/2021 0:00,5/25/2021 0:00,1941
CRSC21109614,295 X-Bar-D WAY ,Templeton,93465,San Luis Obispo,14,1386,3370,3,3,3,2,1,9,2021,2021,539000,559000,5/21/2021 0:00,5/30/2021 0:00,2018
ML81844677,1453 Walnut ST ,San Carlos,94070,San Mateo,13,2030,4400,75,2,4,2,0,4,2021,2021,2098000,2200000,5/19/2021 0:00,5/23/2021 0:00,1946
TM21-733464,3955 Sutro AVE ,Los Angeles,90008,Los Angeles,0,1722,6007,87,1,3,1,0,9,2021,2021,1150000,1290000,5/18/2021 0:00,5/27/2021 0:00,1934
CRPW21099705,6347 W 79th ST ,Los Angeles,90045,Los Angeles,0,2190,10347,69,2,3,2,0,0,2021,2021,1500000,1625000,5/18/2021 0:00,5/18/2021 0:00,1952
ME221038840,803 Wallace DR ,Woodland,95776,Yolo,26,2029,6970,25,3,3,2,1,6,2021,2021,514900,574900,5/22/2021 0:00,5/28/2021 0:00,1996
CRIG21114172,5007 Viceroy AVE ,Norco,92860,Riverside,1,1750,20038,47,2,3,2,0,1,2021,2021,675000,675000,5/27/2021 0:00,5/28/2021 0:00,1974
ME221052683,1946 Ninfatino ST ,Stockton,95206,San Joaquin,10,1357,5654,16,2,4,2,0,7,2021,2021,335000,356000,5/19/2021 0:00,5/26/2021 0:00,2005
CRSW21102511,29063 Navigator WAY ,Menifee,92585,Riverside,1,1951,8276,16,2,3,2,0,9,2021,2021,485000,560000,5/21/2021 0:00,5/30/2021 0:00,2005
CREV21109722,15357 HIBISCUS AVE ,Fontana,92335,San Bernardino,3,1456,7440,65,2,4,2,0,4,2021,2021,484990,500000,5/21/2021 0:00,5/25/2021 0:00,1956
ME221053144,18358 Parkside DR ,Lathrop,95330,San Joaquin,10,2590,6000,5,3,4,3,0,4,2021,2021,749000,875000,5/19/2021 0:00,5/23/2021 0:00,2016
TM21-746876,4820 Poe AVE ,Woodland Hills,91364,Los Angeles,0,3387,17766,62,4,4,4,0,1,2021,2021,2395000,2377777,4/7/2021 0:00,4/8/2021 0:00,1959
CNSR21106105,18806 Vicci ST ,Canyon Country,91351,Los Angeles,0,1595,13260,48,3,4,3,0,6,2021,2021,669000,730000,5/19/2021 0:00,5/25/2021 0:00,1973
CRPF21096795,5020 Meridian ST ,Los Angeles,90042,Los Angeles,0,1302,5182,105,1,3,1,0,38,2021,2021,799000,1000000,4/22/2021 0:00,5/30/2021 0:00,1916
ML81844844,5301 Roxburghe CT ,San Jose,95138,Santa Clara,7,2094,3858,22,3,4,2,1,6,2021,2021,1598000,1672000,5/20/2021 0:00,5/26/2021 0:00,1999
ME221054682,1524 Arroyo Madrone LN ,Lincoln,95648,Placer,9,2021,5782,18,3,4,2,1,5,2021,2021,545000,590000,5/20/2021 0:00,5/25/2021 0:00,2003
CRSW21112258,350 N Ash ST ,Orange,92868,Orange,2,1075,6600,62,2,3,2,0,3,2021,2021,800000,797150,5/24/2021 0:00,5/27/2021 0:00,1959
CRMC21103657,2129 La Paz CT ,Merced,95340,Merced,22,1829,6098,42,3,3,3,0,4,2021,2021,340000,360000,5/15/2021 0:00,5/19/2021 0:00,1979
CRMB21106198,14865 Fairvilla DR ,La Mirada,90638,Los Angeles,0,1358,6636,63,2,3,2,0,5,2021,2021,733000,733000,5/10/2021 0:00,5/15/2021 0:00,1958
CRNDP2105550,1835 Rock Springs RD ,San Marcos,92069,San Diego,5,1444,7900,42,2,3,2,0,5,2021,2021,699000,705000,5/19/2021 0:00,5/24/2021 0:00,1979
ME202002248,1444 High ST ,Oroville,95965,Butte,11,1208,3485,101,2,3,2,0,6,2020,2020,219900,212500,7/30/2020 0:00,8/5/2020 0:00,1920
CREV21105828,27942 Pacific ST ,Highland,92346,San Bernardino,3,1454,7128,37,2,3,2,0,6,2021,2021,334000,402000,5/19/2021 0:00,5/25/2021 0:00,1984
CRCV21109152,237 W Baseline RD ,Claremont,91711,Los Angeles,0,2389,29221,93,3,4,3,0,7,2021,2021,1175000,1325000,5/21/2021 0:00,5/28/2021 0:00,1928
CC40950535,1472 Monitor Ave ,Suisun City,94585,Solano,16,1050,6647,35,2,2,2,0,6,2021,2021,420000,450000,5/19/2021 0:00,5/25/2021 0:00,1986
ME221052420,3697 Coldwater DR ,Rocklin,95765,Placer,9,1331,7479,20,2,2,2,0,5,2021,2021,450000,512500,5/21/2021 0:00,5/26/2021 0:00,2001
ML81845775,10460 Imperial AVE ,Cupertino,95014,Santa Clara,7,2817,7800,34,3,5,3,0,0,2021,2021,2798000,3230000,5/25/2021 0:00,5/25/2021 0:00,1987
ML81844980,1337 Torrance AVE ,Sunnyvale,94089,Santa Clara,7,1000,5600,65,2,3,2,0,6,2021,2021,1188000,1380000,5/20/2021 0:00,5/26/2021 0:00,1956
TM21-734540,4916 Zelzah AVE ,Encino,91316,Los Angeles,0,1917,7560,70,1,3,1,0,6,2021,2021,1200000,1435000,5/20/2021 0:00,5/26/2021 0:00,1951
CRCV21107616,11863 Shallows DR ,Mira Loma,91752,Riverside,1,3592,6098,5,5,6,4,1,6,2021,2021,758800,765000,5/21/2021 0:00,5/27/2021 0:00,2016
CRMC21101303,1628 Fairway DR ,Atwater,95301,Merced,22,1997,8712,25,2,5,2,0,9,2021,2021,399000,412000,5/14/2021 0:00,5/23/2021 0:00,1996
ML81844854,18467 McClellan CIR ,Marina,93933,Monterey,24,1895,5663,6,3,2,2,1,6,2021,2021,775000,855555,5/20/2021 0:00,5/26/2021 0:00,2015
CROC21084677,19152 Sycamore Glen DR ,Trabuco Canyon,92679,Orange,2,1154,5700,35,2,2,2,0,33,2021,2021,624900,701000,4/21/2021 0:00,5/24/2021 0:00,1986
CRPW21103369,5132 Autry AVE ,Lakewood,90712,Los Angeles,0,816,5343,71,1,2,1,0,8,2021,2021,640000,705000,5/19/2021 0:00,5/27/2021 0:00,1950
CNSR21107028,20644 San Jose ST ,Chatsworth,91311,Los Angeles,0,2010,11178,60,2,3,2,0,10,2021,2021,825000,878000,5/18/2021 0:00,5/28/2021 0:00,1961
ME221054077,8221 Cottonball WAY ,Sacramento,95828,Sacramento,4,1617,7283,33,2,3,2,0,5,2021,2021,480000,480000,5/19/2021 0:00,5/24/2021 0:00,1988
CRPW21098877,1213 Carter LN ,Corona,92881,Riverside,1,2005,9148,27,3,4,3,0,14,2021,2021,715000,735000,5/11/2021 0:00,5/25/2021 0:00,1994
BE40949497,5218 Muirwood Dr ,Pleasanton,94588,Alameda,8,2201,8844,54,2,4,2,0,4,2021,2021,1550000,1735371,5/21/2021 0:00,5/25/2021 0:00,1967
CRV1-5830,227 Lynn DR ,Ventura,93003,Ventura,17,1488,6720,69,2,4,2,0,28,2021,2021,1075000,1092500,4/28/2021 0:00,5/26/2021 0:00,1952
ML81844929,1329 Carrie Lee WAY ,San Jose,95118,Santa Clara,7,1732,8976,60,2,3,2,0,6,2021,2021,1395000,1630000,5/20/2021 0:00,5/26/2021 0:00,1961
CRNS21114015,26 15th ST ,Cayucos,93430,San Luis Obispo,14,800,3000,73,1,2,1,0,0,2021,2021,840000,840000,5/26/2021 0:00,5/26/2021 0:00,1948
SF509416,4231 20th ST ,San Francisco,94114,San Francisco,21,3240,2750,123,4,5,4,0,0,2021,2021,3799000,3910000,5/25/2021 0:00,5/25/2021 0:00,1898
CRTR21105014,2969 Galloping Hills RD ,Chino Hills,91709,San Bernardino,3,2135,5481,28,3,4,2,1,6,2021,2021,885000,920000,5/17/2021 0:00,5/23/2021 0:00,1993
CRTR21107559,13517 Mockingbird WAY ,Chino Hills,91709,San Bernardino,3,2610,11210,33,3,4,3,0,6,2021,2021,1250000,1250000,5/19/2021 0:00,5/25/2021 0:00,1988
