MLS_Number,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Age,Year_Built,DOM,Year_Sold,Year_List,Sale_Date,List_Price,Sale_Price
CRJT21106342,San Bernardino,3,2214,54450,4,2,2,0,32,1989,0,2021,2021,5/11/2021 0:00,360000,368500
CRJT21106019,San Bernardino,3,704,108900,1,1,1,0,62,1959,10,2021,2021,5/28/2021 0:00,330000,285000
TM21-736554,Los Angeles,0,3952,5856,5,5,4,1,15,2006,0,2021,2021,5/26/2021 0:00,3250000,3400000
ME202002809,Butte,11,2486,13068,3,3,2,1,12,2009,1,2020,2020,9/19/2020 0:00,799900,777000
CRDW21103909,Los Angeles,0,862,4995,2,1,1,0,73,1948,9,2021,2021,5/23/2021 0:00,459000,516000
CRCV21100654,Los Angeles,0,2360,11526,4,2,2,0,75,1946,11,2021,2021,5/24/2021 0:00,1200000,1307000
CRSC21142161,San Luis Obispo,14,1339,6750,2,3,3,0,86,1935,0,2021,2021,5/5/2021 0:00,950000,950000
ME221056432,Yuba,18,1241,9670,3,2,2,0,17,2004,2,2021,2021,5/25/2021 0:00,364999,370000
CRSW21106534,San Diego,5,2213,6657,4,3,3,0,3,2018,9,2021,2021,5/27/2021 0:00,689900,690000
CC40950601,Contra Costa,6,2156,6694,2,3,2,1,23,1998,10,2021,2021,5/29/2021 0:00,750000,750000
CRDW21111980,Los Angeles,0,2670,7377,4,3,2,1,1,2020,9,2021,2021,5/30/2021 0:00,528000,520000
BA321043339,Solano,16,1736,3899,3,3,2,1,29,1992,5,2021,2021,5/25/2021 0:00,540000,550000
TM21-733902,Los Angeles,0,1170,6714,3,1,1,0,69,1952,9,2021,2021,5/27/2021 0:00,835000,1010000
ME221051936,Placer,9,1120,3115,2,2,2,0,43,1978,4,2021,2021,5/24/2021 0:00,355000,375000
CRIV21109620,Riverside,1,1367,6970,3,2,2,0,36,1985,1,2021,2021,5/22/2021 0:00,499000,540000
CROC21106069,Orange,2,2062,7841,3,2,2,0,49,1972,8,2021,2021,5/26/2021 0:00,1550000,1600000
CRCV21114916,San Bernardino,3,1424,7276,4,2,2,0,35,1986,1,2021,2021,5/28/2021 0:00,425000,445000
CRNP21068210,Orange,2,4522,7581,5,6,5,1,0,2021,0,2021,2021,4/1/2021 0:00,4995000,4995000
ME202100571,Alameda,8,1000,5009,3,2,2,0,67,1954,11,2021,2021,3/16/2021 0:00,700000,700000
ME221053536,Sacramento,4,1155,5227,2,2,2,0,49,1972,8,2021,2021,5/29/2021 0:00,400000,465500
ME202002747,Tehama,40,1134,6665,4,2,2,0,52,1969,2,2020,2020,9/18/2020 0:00,225000,233000
ME202001737,Plumas,44,1260,15682,2,2,2,0,14,2007,67,2020,2020,8/19/2020 0:00,299950,299950
CRCV21105072,Los Angeles,0,2542,6071,4,2,2,0,4,2017,5,2021,2021,5/23/2021 0:00,949950,975000
CC40951056,San Mateo,13,2380,9120,4,3,2,1,48,1973,6,2021,2021,5/27/2021 0:00,2298000,2701000
ML81845152,San Mateo,13,2070,7975,3,2,2,0,66,1955,5,2021,2021,5/26/2021 0:00,2398000,2650000
ML81845906,Santa Clara,7,2377,6789,3,2,2,0,46,1975,0,2021,2021,5/26/2021 0:00,4100000,4100000
CNSR21107901,Los Angeles,0,945,4373,3,1,1,0,67,1954,18,2021,2021,5/28/2021 0:00,685000,675000
ME201903237,Yuba,18,1440,9583,3,3,2,1,43,1978,269,2020,2019,6/13/2020 0:00,243000,233500
TM21-733022,Los Angeles,0,2751,2788,3,3,2,1,36,1985,1,2021,2021,5/20/2021 0:00,2545000,2595750
CC40950714,Contra Costa,6,1167,6060,3,2,2,0,38,1983,0,2021,2021,5/20/2021 0:00,522000,522000
CC40950955,Contra Costa,6,2384,4418,3,3,3,0,15,2006,4,2021,2021,5/25/2021 0:00,1425000,1670000
SF421552705,San Francisco,21,2700,3640,3,4,3,1,34,1987,2,2021,2021,5/22/2021 0:00,2495000,2950000
CRPTP2103447,San Diego,5,2176,17000,4,2,2,0,79,1942,6,2021,2021,5/26/2021 0:00,849900,860000
ME221056358,Merced,22,1016,6098,3,2,2,0,20,2001,8,2021,2021,5/28/2021 0:00,299900,320000
CRTR21108886,Los Angeles,0,1196,7643,3,2,2,0,60,1961,6,2021,2021,5/26/2021 0:00,660000,680000
TM21-733170,Los Angeles,0,1802,6499,5,2,2,0,71,1950,6,2021,2021,5/23/2021 0:00,2995000,3000000
ML81844803,Santa Clara,7,2585,10233,5,3,3,0,15,2006,7,2021,2021,5/27/2021 0:00,1395000,1750000
CRPW21102140,Orange,2,1608,7350,4,1,1,0,56,1965,5,2021,2021,5/12/2021 0:00,709000,709000
BE40950085,Alameda,8,3026,11304,5,3,3,0,46,1975,3,2021,2021,5/24/2021 0:00,1649888,2075000
CRIV21105771,Riverside,1,2277,7405,3,3,3,0,32,1989,37,2021,2021,5/25/2021 0:00,725000,740000
ME221053753,Sacramento,4,1806,6534,3,3,2,1,46,1975,4,2021,2021,5/25/2021 0:00,415000,450000
CNSR21108460,Los Angeles,0,5621,20092,5,6,6,0,17,2004,3,2021,2021,5/23/2021 0:00,2695000,2800000
ME221041262,Sacramento,4,1386,5227,2,1,1,0,83,1938,6,2021,2021,5/26/2021 0:00,695000,722000
ME221056727,Stanislaus,12,1845,8721,3,2,2,0,36,1985,1,2021,2021,5/25/2021 0:00,434900,450000
EB40951001,Solano,16,1808,6098,3,2,2,0,41,1980,7,2021,2021,5/28/2021 0:00,590000,645000
ME202100062,San Joaquin,10,2407,4760,4,3,3,0,22,1999,10,2021,2021,1/19/2021 0:00,529999,600000
ME221033623,San Joaquin,10,1511,4495,3,3,2,1,23,1998,7,2021,2021,5/26/2021 0:00,595000,620000
CRPW21082529,Los Angeles,0,1556,5060,3,1,1,0,71,1950,7,2021,2021,5/26/2021 0:00,969000,1030000
ML81844505,Santa Cruz,25,1348,13504,3,2,2,0,80,1941,7,2021,2021,5/25/2021 0:00,859000,975000
CRSC21109614,San Luis Obispo,14,1386,3370,3,3,2,1,3,2018,9,2021,2021,5/30/2021 0:00,539000,559000
ML81844677,San Mateo,13,2030,4400,4,2,2,0,75,1946,4,2021,2021,5/23/2021 0:00,2098000,2200000
TM21-733464,Los Angeles,0,1722,6007,3,1,1,0,87,1934,9,2021,2021,5/27/2021 0:00,1150000,1290000
CRPW21099705,Los Angeles,0,2190,10347,3,2,2,0,69,1952,0,2021,2021,5/18/2021 0:00,1500000,1625000
ME221038840,Yolo,26,2029,6970,3,3,2,1,25,1996,6,2021,2021,5/28/2021 0:00,514900,574900
CRIG21114172,Riverside,1,1750,20038,3,2,2,0,47,1974,1,2021,2021,5/28/2021 0:00,675000,675000
ME221052683,San Joaquin,10,1357,5654,4,2,2,0,16,2005,7,2021,2021,5/26/2021 0:00,335000,356000
CRSW21102511,Riverside,1,1951,8276,3,2,2,0,16,2005,9,2021,2021,5/30/2021 0:00,485000,560000
CREV21109722,San Bernardino,3,1456,7440,4,2,2,0,65,1956,4,2021,2021,5/25/2021 0:00,484990,500000
ME221053144,San Joaquin,10,2590,6000,4,3,3,0,5,2016,4,2021,2021,5/23/2021 0:00,749000,875000
TM21-746876,Los Angeles,0,3387,17766,4,4,4,0,62,1959,1,2021,2021,4/8/2021 0:00,2395000,2377777
CNSR21106105,Los Angeles,0,1595,13260,4,3,3,0,48,1973,6,2021,2021,5/25/2021 0:00,669000,730000
CRPF21096795,Los Angeles,0,1302,5182,3,1,1,0,105,1916,38,2021,2021,5/30/2021 0:00,799000,1000000
ML81844844,Santa Clara,7,2094,3858,4,3,2,1,22,1999,6,2021,2021,5/26/2021 0:00,1598000,1672000
ME221054682,Placer,9,2021,5782,4,3,2,1,18,2003,5,2021,2021,5/25/2021 0:00,545000,590000
CRSW21112258,Orange,2,1075,6600,3,2,2,0,62,1959,3,2021,2021,5/27/2021 0:00,800000,797150
CRMC21103657,Merced,22,1829,6098,3,3,3,0,42,1979,4,2021,2021,5/19/2021 0:00,340000,360000
CRMB21106198,Los Angeles,0,1358,6636,3,2,2,0,63,1958,5,2021,2021,5/15/2021 0:00,733000,733000
CRNDP2105550,San Diego,5,1444,7900,3,2,2,0,42,1979,5,2021,2021,5/24/2021 0:00,699000,705000
ME202002248,Butte,11,1208,3485,3,2,2,0,101,1920,6,2020,2020,8/5/2020 0:00,219900,212500
CREV21105828,San Bernardino,3,1454,7128,3,2,2,0,37,1984,6,2021,2021,5/25/2021 0:00,334000,402000
CRCV21109152,Los Angeles,0,2389,29221,4,3,3,0,93,1928,7,2021,2021,5/28/2021 0:00,1175000,1325000
CC40950535,Solano,16,1050,6647,2,2,2,0,35,1986,6,2021,2021,5/25/2021 0:00,420000,450000
ME221052420,Placer,9,1331,7479,2,2,2,0,20,2001,5,2021,2021,5/26/2021 0:00,450000,512500
ML81845775,Santa Clara,7,2817,7800,5,3,3,0,34,1987,0,2021,2021,5/25/2021 0:00,2798000,3230000
ML81844980,Santa Clara,7,1000,5600,3,2,2,0,65,1956,6,2021,2021,5/26/2021 0:00,1188000,1380000
TM21-734540,Los Angeles,0,1917,7560,3,1,1,0,70,1951,6,2021,2021,5/26/2021 0:00,1200000,1435000
CRCV21107616,Riverside,1,3592,6098,6,5,4,1,5,2016,6,2021,2021,5/27/2021 0:00,758800,765000
CRMC21101303,Merced,22,1997,8712,5,2,2,0,25,1996,9,2021,2021,5/23/2021 0:00,399000,412000
ML81844854,Monterey,24,1895,5663,2,3,2,1,6,2015,6,2021,2021,5/26/2021 0:00,775000,855555
CROC21084677,Orange,2,1154,5700,2,2,2,0,35,1986,33,2021,2021,5/24/2021 0:00,624900,701000
CRPW21103369,Los Angeles,0,816,5343,2,1,1,0,71,1950,8,2021,2021,5/27/2021 0:00,640000,705000
CNSR21107028,Los Angeles,0,2010,11178,3,2,2,0,60,1961,10,2021,2021,5/28/2021 0:00,825000,878000
ME221054077,Sacramento,4,1617,7283,3,2,2,0,33,1988,5,2021,2021,5/24/2021 0:00,480000,480000
CRPW21098877,Riverside,1,2005,9148,4,3,3,0,27,1994,14,2021,2021,5/25/2021 0:00,715000,735000
BE40949497,Alameda,8,2201,8844,4,2,2,0,54,1967,4,2021,2021,5/25/2021 0:00,1550000,1735371
CRV1-5830,Ventura,17,1488,6720,4,2,2,0,69,1952,28,2021,2021,5/26/2021 0:00,1075000,1092500
ML81844929,Santa Clara,7,1732,8976,3,2,2,0,60,1961,6,2021,2021,5/26/2021 0:00,1395000,1630000
CRNS21114015,San Luis Obispo,14,800,3000,2,1,1,0,73,1948,0,2021,2021,5/26/2021 0:00,840000,840000
SF509416,San Francisco,21,3240,2750,5,4,4,0,123,1898,0,2021,2021,5/25/2021 0:00,3799000,3910000
CRTR21105014,San Bernardino,3,2135,5481,4,3,2,1,28,1993,6,2021,2021,5/23/2021 0:00,885000,920000
CRTR21107559,San Bernardino,3,2610,11210,4,3,3,0,33,1988,6,2021,2021,5/25/2021 0:00,1250000,1250000
CRNDP2105683,San Diego,5,5137,33976,6,5,4,1,19,2002,9,2021,2021,5/27/2021 0:00,2799000,3050000
CROC21072905,Orange,2,1262,6360,4,2,2,0,62,1959,50,2021,2021,5/26/2021 0:00,899000,905000
ML81844559,Santa Clara,7,1603,5064,3,3,3,0,82,1939,8,2021,2021,5/26/2021 0:00,2050000,2280000
ME221052884,El Dorado,19,1589,45302,3,2,2,0,32,1989,7,2021,2021,5/26/2021 0:00,474900,480000
CC40950618,Contra Costa,6,3024,7700,4,3,2,1,33,1988,4,2021,2021,5/23/2021 0:00,1599800,1800000
CC40951455,Contra Costa,6,2318,9200,4,3,3,0,28,1993,0,2021,2021,5/25/2021 0:00,630000,630000
BA321032459,Marin,15,1296,7126,3,2,2,0,66,1955,73,2021,2021,5/10/2021 0:00,1250000,1240000
CRDW21107682,Los Angeles,0,1060,5281,3,1,1,0,71,1950,9,2021,2021,5/29/2021 0:00,599998,675000
ME221044472,Placer,9,2833,7497,5,3,3,0,18,2003,5,2021,2021,5/25/2021 0:00,629900,720000
ME221055973,San Joaquin,10,1905,10463,3,2,2,0,41,1980,4,2021,2021,5/25/2021 0:00,565000,594000
ME221056313,Yuba,18,1621,7405,4,2,2,0,17,2004,2,2021,2021,5/24/2021 0:00,399000,415000
TM21-734612,Los Angeles,0,997,3968,2,1,1,0,81,1940,7,2021,2021,5/27/2021 0:00,489500,560000
CRIG21109951,San Bernardino,3,1510,18000,3,2,2,0,19,2002,4,2021,2021,5/25/2021 0:00,319000,340000
ML81844301,San Benito,33,1330,16875,3,2,2,0,31,1990,9,2021,2021,5/26/2021 0:00,575000,585000
ME202100719,Madera,28,2408,7405,4,3,2,1,13,2008,6,2021,2021,3/30/2021 0:00,349500,360000
CNSR21148317,Los Angeles,0,3815,7395,5,4,4,0,14,2007,0,2021,2021,4/30/2021 0:00,3375000,3375000
CC40950860,Contra Costa,6,2509,5326,4,3,2,1,10,2011,7,2021,2021,5/27/2021 0:00,1475000,1750000
CROC21098686,Los Angeles,0,1565,5602,3,2,2,0,71,1950,14,2021,2021,5/22/2021 0:00,679000,780000
CNSR21106740,Los Angeles,0,1462,1462,3,3,2,1,2,2019,8,2021,2021,5/27/2021 0:00,675000,700000
CRNDP2105473,San Diego,5,1056,1736,2,2,2,0,38,1983,6,2021,2021,5/24/2021 0:00,425000,440000
SF421553200,San Francisco,21,3260,6634,4,4,4,0,65,1956,0,2021,2021,5/27/2021 0:00,3350000,3350000
CRIV21113516,San Bernardino,3,1633,11760,3,2,2,0,47,1974,0,2021,2021,5/26/2021 0:00,490000,490000
ME221050687,Sacramento,4,1228,12480,3,2,1,1,69,1952,2,2021,2021,5/20/2021 0:00,525000,570000
BE40950145,Alameda,8,6012,21411,5,6,4,2,10,2011,7,2021,2021,5/26/2021 0:00,3998680,4300000
CRLC21105669,Lake,29,1086,8180,2,2,2,0,77,1944,365,2021,2020,4/5/2021 0:00,329000,340000
CRPW21105930,Riverside,1,2245,7841,4,2,2,0,30,1991,9,2021,2021,5/26/2021 0:00,535000,545000
BA321048920,Solano,16,1183,6534,3,1,1,0,71,1950,1,2021,2021,4/28/2021 0:00,415000,415000
TM21-735666,Los Angeles,0,2400,7635,3,3,3,0,99,1922,14,2020,2020,11/15/2020 0:00,2049000,2049500
CRAR21087439,San Bernardino,3,1507,6728,2,1,1,0,70,1951,11,2021,2021,5/27/2021 0:00,459000,475000
ML81844608,Santa Clara,7,1484,8988,5,3,3,0,67,1954,1,2021,2021,5/20/2021 0:00,2850000,2890000
CROC21109219,Orange,2,1494,9729,3,2,2,0,69,1952,0,2021,2021,5/20/2021 0:00,1620000,1620000
TM21-724090,Ventura,17,1409,5480,3,2,2,0,24,1997,4,2021,2021,5/25/2021 0:00,637500,720000
CRSW21111671,Riverside,1,1535,8712,3,2,2,0,35,1986,4,2021,2021,5/28/2021 0:00,506000,506000
CREV21105920,Riverside,1,2127,9583,2,3,2,1,18,2003,2,2021,2021,5/20/2021 0:00,440000,445000
CRSW21106091,Riverside,1,1968,7405,4,2,2,0,13,2008,6,2021,2021,5/30/2021 0:00,419000,520000
CRSB21108924,Los Angeles,0,1826,2096,3,3,2,1,43,1978,9,2021,2021,5/28/2021 0:00,3200000,3192000
CRNDP2105476,San Diego,5,3195,7560,5,4,3,1,31,1990,12,2021,2021,5/29/2021 0:00,1599000,1527000
BE40950815,Alameda,8,949,5320,2,1,1,0,73,1948,9,2021,2021,5/29/2021 0:00,575000,675000
CC40950658,Contra Costa,6,2832,7809,5,3,3,0,21,2000,5,2021,2021,5/24/2021 0:00,1035000,1100000
SF421555609,San Mateo,13,1365,5720,3,2,2,0,75,1946,3,2021,2021,5/24/2021 0:00,1198888,1260000
CRMB21108009,Los Angeles,0,1115,7085,3,2,1,1,74,1947,7,2021,2021,5/27/2021 0:00,600000,636000
BE40950368,Contra Costa,6,1645,7000,3,2,2,0,48,1973,5,2021,2021,5/25/2021 0:00,1098000,1350500
CRNDP2105549,San Diego,5,1259,3567,3,3,2,1,22,1999,13,2021,2021,5/26/2021 0:00,579000,660888
CNSR21144235,Ventura,17,2437,6838,4,3,3,0,4,2017,0,2021,2021,5/15/2021 0:00,850000,850000
CRPTP2103489,San Diego,5,1237,4116,3,2,2,0,31,1990,4,2021,2021,5/25/2021 0:00,607000,607000
ME221054420,Sacramento,4,1215,10454,3,2,1,1,62,1959,6,2021,2021,5/26/2021 0:00,449000,483000
CRPTP2103499,San Diego,5,1222,6800,3,1,1,0,61,1960,2,2021,2021,5/23/2021 0:00,640000,634000
ML81844623,Santa Cruz,25,1367,8556,3,2,1,1,88,1933,1,2021,2021,5/20/2021 0:00,829000,900000
CRCV21108944,San Bernardino,3,1067,4640,2,2,2,0,35,1986,5,2021,2021,5/25/2021 0:00,534888,545000
BE40949200,Santa Clara,7,1998,14000,4,3,2,1,51,1970,2,2021,2021,5/20/2021 0:00,2690000,3182000
ME221051935,Stanislaus,12,2845,6599,4,3,3,0,21,2000,9,2021,2021,5/28/2021 0:00,650000,680000
CRSB21104473,Los Angeles,0,1605,5104,4,2,2,0,70,1951,13,2021,2021,5/28/2021 0:00,849000,849000
CRNDP2105698,San Diego,5,2901,5652,5,3,3,0,15,2006,46,2021,2021,5/30/2021 0:00,1475000,1660000
BA321042550,Sonoma,20,1756,9940,3,2,2,0,45,1976,6,2021,2021,5/27/2021 0:00,919850,1080000
ME221053608,El Dorado,19,2316,6970,4,3,3,0,12,2009,6,2021,2021,5/25/2021 0:00,689000,725000
ME221037844,El Dorado,19,2894,13939,4,4,3,1,44,1977,4,2021,2021,5/24/2021 0:00,729000,804014
ME221049082,El Dorado,19,3172,7710,4,3,3,0,20,2001,4,2021,2021,5/24/2021 0:00,799950,885000
CRMC21105114,Tulare,45,1684,12564,3,2,2,0,17,2004,3,2021,2021,5/20/2021 0:00,360000,370000
CRWS21106978,Los Angeles,0,1655,6144,3,2,2,0,73,1948,9,2021,2021,5/27/2021 0:00,869000,950000
ML81845301,Santa Clara,7,2720,10877,4,3,3,0,71,1950,0,2021,2021,5/20/2021 0:00,1999999,2300000
CC40950848,Contra Costa,6,4026,16120,5,4,3,1,25,1996,7,2021,2021,5/27/2021 0:00,2478000,2650000
SF421551287,San Francisco,21,4120,2848,4,6,5,1,18,2003,7,2021,2021,5/28/2021 0:00,4195000,4900000
CNSR21105944,Los Angeles,0,3511,9172,5,3,3,0,44,1977,7,2021,2021,5/24/2021 0:00,1399000,1480000
CRCV21104541,San Bernardino,3,3291,13990,4,3,3,0,15,2006,13,2021,2021,5/28/2021 0:00,949900,975000
CRPW21108140,Los Angeles,0,1185,5970,3,1,1,0,66,1955,12,2021,2021,5/29/2021 0:00,595000,630000
CNSR21105450,Los Angeles,0,1559,7247,3,2,2,0,17,2004,10,2021,2021,5/27/2021 0:00,404900,455000
BA321035932,Sonoma,20,1230,2400,2,2,2,0,40,1981,7,2021,2021,5/27/2021 0:00,489500,485000
CRP1-4811,Los Angeles,0,1562,4855,3,2,2,0,62,1959,4,2021,2021,5/23/2021 0:00,749000,796500
CRCV21035146,San Bernardino,3,1120,7448,3,2,2,0,71,1950,92,2021,2021,5/21/2021 0:00,499000,512000
CRPTP2103411,San Diego,5,3290,7009,4,5,4,1,16,2005,8,2021,2021,5/27/2021 0:00,1250000,1200000
CREV21107067,Riverside,1,1276,14375,3,2,2,0,64,1957,10,2021,2021,5/28/2021 0:00,395000,395000
ME221058239,Yolo,26,3734,10454,6,4,4,0,16,2005,3,2021,2021,5/30/2021 0:00,1475000,1760000
ME221055051,Stanislaus,12,1145,8895,2,1,1,0,76,1945,8,2021,2021,5/28/2021 0:00,275000,300000
CRSB21107949,Los Angeles,0,1413,7595,3,2,2,0,67,1954,6,2021,2021,5/25/2021 0:00,1499000,1910000
ME221054035,Sacramento,4,1788,2583,3,3,2,1,1,2020,5,2021,2021,5/25/2021 0:00,459000,510000
BA321034295,Sonoma,20,2575,7797,4,3,3,0,27,1994,6,2021,2021,5/23/2021 0:00,1310000,1300000
TM21-727748,Los Angeles,0,2197,6748,5,3,3,0,69,1952,0,2021,2021,5/5/2021 0:00,1550000,1575000
ME221043459,Sacramento,4,1265,12197,3,2,2,0,55,1966,1,2021,2021,5/27/2021 0:00,399000,425000
CC40950063,Contra Costa,6,1640,8100,3,2,2,0,27,1994,5,2021,2021,5/25/2021 0:00,665000,665000
CRJT21106651,San Bernardino,3,1981,43560,3,3,2,1,32,1989,3,2021,2021,5/22/2021 0:00,485000,503000
ME221047912,Sacramento,4,4400,116305,4,4,3,1,16,2005,4,2021,2021,5/23/2021 0:00,1149000,1210000
ME221051725,San Joaquin,10,2423,6599,4,2,2,0,16,2005,8,2021,2021,5/25/2021 0:00,625000,667000
CRSW21102173,Riverside,1,2968,6970,4,3,3,0,12,2009,13,2021,2021,5/25/2021 0:00,674900,730000
ME221057143,Stanislaus,12,3108,10450,3,4,3,1,67,1954,0,2021,2021,5/25/2021 0:00,850000,850000
