MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Year_Built
ME202002380,4409 Crown Valley Way ,Modesto,95356,Stanislaus,12,3454,5998,4,3,3,0,2001
CREV21109075,34914 County Line RD ,Yucaipa,92399,San Bernardino,3,1168,14950,3,3,2,1,1995
ME221054064,33850 S Bird Road ,Tracy,95304,San Joaquin,10,2385,54450,3,2,2,0,1988
ME221053947,457 Selkirk Ranch RD ,Angels Camp,95222,Calaveras,39,2263,9583,3,3,3,0,1999
ML81844996,22580 Murietta RD ,Salinas,93908,Monterey,24,1687,10778,3,2,2,0,1979
CRIV21111956,8850 Buckeye DR ,Fontana,92335,San Bernardino,3,1260,7740,3,2,2,0,1989
CNSR21069603,2163 Willowbrook AVE ,Palmdale,93551,Los Angeles,0,1457,7280,3,2,2,0,1987
ME202101194,1361 Eden WAY ,Yuba City,95993,Sutter,23,1724,9148,3,2,2,0,1981
ML81845753,833 Loma Prieta DR ,Aptos,95003,Santa Cruz,25,1716,7971,3,3,2,1,1991
CREV21111599,1021 Greenway DR ,Big Bear City,92314,San Bernardino,3,1782,7500,4,3,3,0,2006
CRIV21109620,2985 Cody CT ,Riverside,92503,Riverside,1,1367,6970,3,2,2,0,1985
CROC21106069,19221 Sierra Isabelle RD ,Irvine,92603,Orange,2,2062,7841,3,2,2,0,1972
CRCV21114916,2945 Jo An DR ,San Bernardino,92407,San Bernardino,3,1424,7276,4,2,2,0,1986
CRNP21068210,1975 Port Bristol CIR ,Newport Beach,92660,Orange,2,4522,7581,5,6,5,1,2021
ME202100571,27854 mandarin ,Hayward,94544,Alameda,8,1000,5009,3,2,2,0,1954
ME221053536,5860 Kahara CT ,Sacramento,95822,Sacramento,4,1155,5227,2,2,2,0,1972
ME202002747,1355 Orange ST ,Red Bluff,96080,Tehama,40,1134,6665,4,2,2,0,1969
ME202001737,256 Tamarack WAY ,La Porte,96103,Plumas,44,1260,15682,2,2,2,0,2007
CRCV21105072,14539 Woodruff AVE ,Bellflower,90706,Los Angeles,0,2542,6071,4,2,2,0,2017
CC40951056,100 Goldhunter Ct ,Foster City,94404,San Mateo,13,2380,9120,4,3,2,1,1973
ML81845152,58 Chestnut ST ,San Carlos,94070,San Mateo,13,2070,7975,3,2,2,0,1955
ML81845906,1007 Forest CT ,Palo Alto,94301,Santa Clara,7,2377,6789,3,2,2,0,1975
CNSR21107901,1869 Marney AVE ,Los Angeles,90032,Los Angeles,0,945,4373,3,1,1,0,1954
ME201903237,1800 Aristocracy DR ,La Porte,95981,Yuba,18,1440,9583,3,3,2,1,1978
TM21-733022,115 Northstar Mall ,Marina Del Rey,90292,Los Angeles,0,2751,2788,3,3,2,1,1985
CC40950714,4209 Salgado Ave ,Oakley,94561,Contra Costa,6,1167,6060,3,2,2,0,1983
CC40950955,3538 Aldwych Way ,San Ramon,94582,Contra Costa,6,2384,4418,3,3,3,0,2006
SF421552705,445 Beacon ST ,San Francisco,94131,San Francisco,21,2700,3640,3,4,3,1,1987
CRPTP2103447,1444 MURRAY AVENUE ,El Cajon,92020,San Diego,5,2176,17000,4,2,2,0,1942
ME221056358,2117 Wexford LN ,Atwater,95301,Merced,22,1016,6098,3,2,2,0,2001
CRTR21108886,4913 N Burnaby DR ,Covina,91724,Los Angeles,0,1196,7643,3,2,2,0,1961
TM21-733170,1050 Iliff ST ,Pacific Palisades,90272,Los Angeles,0,1802,6499,5,2,2,0,1950
ML81844803,1496 Morning Star DR ,Morgan Hill,95037,Santa Clara,7,2585,10233,5,3,3,0,2006
CRPW21102140,5329 E Pamela Kay LN ,Anaheim,92807,Orange,2,1608,7350,4,1,1,0,1965
BE40950085,3125 Berkshire Ct ,Pleasanton,94588,Alameda,8,3026,11304,5,3,3,0,1975
CRIV21105771,24050 Canyon Lake DR ,,92587,Riverside,1,2277,7405,3,3,3,0,1989
ME221053753,3959 Wildrose WAY ,Sacramento,95826,Sacramento,4,1806,6534,3,3,2,1,1975
CNSR21108460,25817 Shady Oak LN ,Valencia,91381,Los Angeles,0,5621,20092,5,6,6,0,2004
ME221041262,2669 Marty WAY ,Sacramento,95818,Sacramento,4,1386,5227,2,1,1,0,1938
ME221056727,2012 Majestic Oak CT ,Modesto,95355,Stanislaus,12,1845,8721,3,2,2,0,1985
EB40951001,201 Schooner Way ,Vallejo,94590,Solano,16,1808,6098,3,2,2,0,1980
ME202100062,953 vernon berry ln ,Tracy,95376,San Joaquin,10,2407,4760,4,3,3,0,1999
ME221033623,28 Primrose CT ,Tracy,95376,San Joaquin,10,1511,4495,3,3,2,1,1998
CRPW21082529,5348 W 126th ST ,Hawthorne,90250,Los Angeles,0,1556,5060,3,1,1,0,1950
ML81844505,370 Fall Creek DR ,Felton,95018,Santa Cruz,25,1348,13504,3,2,2,0,1941
CRSC21109614,295 X-Bar-D WAY ,Templeton,93465,San Luis Obispo,14,1386,3370,3,3,2,1,2018
ML81844677,1453 Walnut ST ,San Carlos,94070,San Mateo,13,2030,4400,4,2,2,0,1946
TM21-733464,3955 Sutro AVE ,Los Angeles,90008,Los Angeles,0,1722,6007,3,1,1,0,1934
CRPW21099705,6347 W 79th ST ,Los Angeles,90045,Los Angeles,0,2190,10347,3,2,2,0,1952
ME221038840,803 Wallace DR ,Woodland,95776,Yolo,26,2029,6970,3,3,2,1,1996
CRIG21114172,5007 Viceroy AVE ,Norco,92860,Riverside,1,1750,20038,3,2,2,0,1974
ME221052683,1946 Ninfatino ST ,Stockton,95206,San Joaquin,10,1357,5654,4,2,2,0,2005
CRSW21102511,29063 Navigator WAY ,Menifee,92585,Riverside,1,1951,8276,3,2,2,0,2005
CREV21109722,15357 HIBISCUS AVE ,Fontana,92335,San Bernardino,3,1456,7440,4,2,2,0,1956
ME221053144,18358 Parkside DR ,Lathrop,95330,San Joaquin,10,2590,6000,4,3,3,0,2016
TM21-746876,4820 Poe AVE ,Woodland Hills,91364,Los Angeles,0,3387,17766,4,4,4,0,1959
CNSR21106105,18806 Vicci ST ,Canyon Country,91351,Los Angeles,0,1595,13260,4,3,3,0,1973
CRPF21096795,5020 Meridian ST ,Los Angeles,90042,Los Angeles,0,1302,5182,3,1,1,0,1916
ML81844844,5301 Roxburghe CT ,San Jose,95138,Santa Clara,7,2094,3858,4,3,2,1,1999
ME221054682,1524 Arroyo Madrone LN ,Lincoln,95648,Placer,9,2021,5782,4,3,2,1,2003
CRSW21112258,350 N Ash ST ,Orange,92868,Orange,2,1075,6600,3,2,2,0,1959
CRMC21103657,2129 La Paz CT ,Merced,95340,Merced,22,1829,6098,3,3,3,0,1979
CRMB21106198,14865 Fairvilla DR ,La Mirada,90638,Los Angeles,0,1358,6636,3,2,2,0,1958
CRNDP2105550,1835 Rock Springs RD ,San Marcos,92069,San Diego,5,1444,7900,3,2,2,0,1979
ME202002248,1444 High ST ,Oroville,95965,Butte,11,1208,3485,3,2,2,0,1920
CREV21105828,27942 Pacific ST ,Highland,92346,San Bernardino,3,1454,7128,3,2,2,0,1984
CRCV21109152,237 W Baseline RD ,Claremont,91711,Los Angeles,0,2389,29221,4,3,3,0,1928
CC40950535,1472 Monitor Ave ,Suisun City,94585,Solano,16,1050,6647,2,2,2,0,1986
ME221052420,3697 Coldwater DR ,Rocklin,95765,Placer,9,1331,7479,2,2,2,0,2001
ML81845775,10460 Imperial AVE ,Cupertino,95014,Santa Clara,7,2817,7800,5,3,3,0,1987
ML81844980,1337 Torrance AVE ,Sunnyvale,94089,Santa Clara,7,1000,5600,3,2,2,0,1956
TM21-734540,4916 Zelzah AVE ,Encino,91316,Los Angeles,0,1917,7560,3,1,1,0,1951
CRCV21107616,11863 Shallows DR ,Mira Loma,91752,Riverside,1,3592,6098,6,5,4,1,2016
CRMC21101303,1628 Fairway DR ,Atwater,95301,Merced,22,1997,8712,5,2,2,0,1996
ML81844854,18467 McClellan CIR ,Marina,93933,Monterey,24,1895,5663,2,3,2,1,2015
CROC21084677,19152 Sycamore Glen DR ,Trabuco Canyon,92679,Orange,2,1154,5700,2,2,2,0,1986
CRPW21103369,5132 Autry AVE ,Lakewood,90712,Los Angeles,0,816,5343,2,1,1,0,1950
CNSR21107028,20644 San Jose ST ,Chatsworth,91311,Los Angeles,0,2010,11178,3,2,2,0,1961
ME221054077,8221 Cottonball WAY ,Sacramento,95828,Sacramento,4,1617,7283,3,2,2,0,1988
CRPW21098877,1213 Carter LN ,Corona,92881,Riverside,1,2005,9148,4,3,3,0,1994
BE40949497,5218 Muirwood Dr ,Pleasanton,94588,Alameda,8,2201,8844,4,2,2,0,1967
CRV1-5830,227 Lynn DR ,Ventura,93003,Ventura,17,1488,6720,4,2,2,0,1952
ML81844929,1329 Carrie Lee WAY ,San Jose,95118,Santa Clara,7,1732,8976,3,2,2,0,1961
CRNS21114015,26 15th ST ,Cayucos,93430,San Luis Obispo,14,800,3000,2,1,1,0,1948
SF509416,4231 20th ST ,San Francisco,94114,San Francisco,21,3240,2750,5,4,4,0,1898
CRTR21105014,2969 Galloping Hills RD ,Chino Hills,91709,San Bernardino,3,2135,5481,4,3,2,1,1993
CRTR21107559,13517 Mockingbird WAY ,Chino Hills,91709,San Bernardino,3,2610,11210,4,3,3,0,1988
CRNDP2105683,985 Dove Song Way ,Encinitas,92024,San Diego,5,5137,33976,6,5,4,1,2002
CROC21072905,5082 Linda CIR ,Huntington Beach,92649,Orange,2,1262,6360,4,2,2,0,1959
ML81844559,336 Flora Vista AVE ,Sunnyvale,94086,Santa Clara,7,1603,5064,3,3,3,0,1939
ME221052884,1761 Granite Hill RD ,Placerville,95667,El Dorado,19,1589,45302,3,2,2,0,1989
CC40950618,150 Cottonwood Ln ,Danville,94506,Contra Costa,6,3024,7700,4,3,2,1,1988
CC40951455,524 Lemay Ct ,Antioch,94509,Contra Costa,6,2318,9200,4,3,3,0,1993
BA321032459,40 Knight DR ,San Rafael,94901,Marin,15,1296,7126,3,2,2,0,1955
CRDW21107682,14113 Elmcroft AVE ,Norwalk,90650,Los Angeles,0,1060,5281,3,1,1,0,1950
ME221044472,4052 Aitken Dairy RD ,Rocklin,95677,Placer,9,2833,7497,5,3,3,0,2003
ME221055973,5395 Covey Creek ,Stockton,95207,San Joaquin,10,1905,10463,3,2,2,0,1980
ME221056313,1177 Butter Milk CT ,Plumas Lake,95961,Yuba,18,1621,7405,4,2,2,0,2004
TM21-734612,6153 Easton ST ,Los Angeles,90022,Los Angeles,0,997,3968,2,1,1,0,1940
CRIG21109951,8097 El Cerrito AVE ,Hesperia,92345,San Bernardino,3,1510,18000,3,2,2,0,2002
ML81844301,1360 Hillcrest RD ,Hollister,95023,San Benito,33,1330,16875,3,2,2,0,1990
ME202100719,116 Oak CT ,Chowchilla,93610,Madera,28,2408,7405,4,3,2,1,2008
CNSR21148317,3453 Grand View BLVD ,Mar Vista,90066,Los Angeles,0,3815,7395,5,4,4,0,2007
CC40950860,3165 Griffon St West ,Danville,94506,Contra Costa,6,2509,5326,4,3,2,1,2011
CROC21098686,9114 Armley AVE ,Whittier,90603,Los Angeles,0,1565,5602,3,2,2,0,1950
CNSR21106740,19543 Herringbone DR ,Northridge,91324,Los Angeles,0,1462,1462,3,3,2,1,2019
CRNDP2105473,4292 Spoon Bill WAY ,Oceanside,92057,San Diego,5,1056,1736,2,2,2,0,1983
SF421553200,96 San Andreas ,San Francisco,94127,San Francisco,21,3260,6634,4,4,4,0,1956
CRIV21113516,1390 Mohave DR ,Colton,92324,San Bernardino,3,1633,11760,3,2,2,0,1974
ME221050687,4084 Las Pasas WAY ,Sacramento,95864,Sacramento,4,1228,12480,3,2,1,1,1952
BE40950145,1625 Via Di Salerno ,Pleasanton,94566,Alameda,8,6012,21411,5,6,4,2,2011
CRLC21105669,435 Armstrong ST ,Lakeport,95453,Lake,29,1086,8180,2,2,2,0,1944
CRPW21105930,22764 Valley Vista CIR ,Wildomar,92595,Riverside,1,2245,7841,4,2,2,0,1991
BA321048920,1405 Empire ST ,Fairfield,94533,Solano,16,1183,6534,3,1,1,0,1950
TM21-735666,5139 Vincent AVE ,Los Angeles,90041,Los Angeles,0,2400,7635,3,3,3,0,1922
CRAR21087439,17259 Miller AVE ,Fontana,92336,San Bernardino,3,1507,6728,2,1,1,0,1951
ML81844608,2890 Ross RD ,Palo Alto,94303,Santa Clara,7,1484,8988,5,3,3,0,1954
CROC21109219,340 Colleen PL ,Costa Mesa,92627,Orange,2,1494,9729,3,2,2,0,1952
TM21-724090,10672 Sunflower ST ,Ventura,93004,Ventura,17,1409,5480,3,2,2,0,1997
CRSW21111671,29941 Gulf Stream DR ,,92587,Riverside,1,1535,8712,3,2,2,0,1986
CREV21105920,973 Pebble Beach RD ,Beaumont,92223,Riverside,1,2127,9583,2,3,2,1,2003
CRSW21106091,1194 Orange AVE ,Beaumont,92223,Riverside,1,1968,7405,4,2,2,0,2008
CRSB21108924,221 31st ST ,,90254,Los Angeles,0,1826,2096,3,3,2,1,1978
CRNDP2105476,1186 Quail Gardens Ct ,Encinitas,92024,San Diego,5,3195,7560,5,4,3,1,1990
BE40950815,1623 143Rd Ave ,San Leandro,94578,Alameda,8,949,5320,2,1,1,0,1948
CC40950658,100 Lees Pl ,Martinez,94553,Contra Costa,6,2832,7809,5,3,3,0,2000
SF421555609,1671 Sweetwood DR ,Daly City,94015,San Mateo,13,1365,5720,3,2,2,0,1946
CRMB21108009,409 N Raywood AVE ,Montebello,90640,Los Angeles,0,1115,7085,3,2,1,1,1947
BE40950368,3343 Ensenada Dr ,San Ramon,94583,Contra Costa,6,1645,7000,3,2,2,0,1973
CRNDP2105549,4089 Ivey Vista Way ,Oceanside,92057,San Diego,5,1259,3567,3,3,2,1,1999
CNSR21144235,511 Owens River DR ,Oxnard,93036,Ventura,17,2437,6838,4,3,3,0,2017
CRPTP2103489,1500 Sedona Glen ,Escondido,92027,San Diego,5,1237,4116,3,2,2,0,1990
ME221054420,5331 Maui WAY ,Fair Oaks,95628,Sacramento,4,1215,10454,3,2,1,1,1959
CRPTP2103499,1315 Walbollen St ,Spring Valley,91977,San Diego,5,1222,6800,3,1,1,0,1960
ML81844623,195 Pleasant WAY ,Boulder Creek,95006,Santa Cruz,25,1367,8556,3,2,1,1,1933
CRCV21108944,7340 Cascade CT ,Rancho Cucamonga,91730,San Bernardino,3,1067,4640,2,2,2,0,1986
BE40949200,12679 Kane Dr ,Saratoga,95070,Santa Clara,7,1998,14000,4,3,2,1,1970
