MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Year_Built
BA321042274,10 Hotaling CT ,Kentfield,94904,Marin,15,4315,24699,5,4,4,0,1937
CRND21098761,4957 Lake Shore CT ,Fallbrook,92028,San Diego,5,1408,4356,3,2,2,0,1995
CRPTP2103454,451 S Stage Coach LN ,Fallbrook,92028,San Diego,5,1850,13939.2,4,3,3,0,1966
CRIV21097076,1501 Trenton DR ,Riverside,92506,Riverside,1,2096,11761,4,1,1,0,1964
CRCV21107075,310 N Banna AVE ,Covina,91724,Los Angeles,0,2037,7530,4,2,2,0,1964
CRDW21109048,2302 Cypress Circle DR ,Lomita,90717,Los Angeles,0,2523,5030,4,3,2,1,1987
CRSW21111169,31482 Calle Los Padres ,Temecula,92592,Riverside,1,1330,5663,3,2,2,0,1992
CNSR21107165,16750 Blackhawk ST ,Granada Hills,91344,Los Angeles,0,1794,7148,3,2,2,0,1956
BA321047625,209 Tedford AVE ,Ukiah,95482,Mendocino,35,1550,5998,3,2,2,0,1968
CRNDP2105425,9411 Emerald Grove AVE ,Lakeside,92040,San Diego,5,2273,41604,4,3,3,0,1957
ML81845998,5286 Concord BLVD 5292,Concord,94521,Contra Costa,6,1518,51401,3,2,1,1,1952
CNSR21107327,20933 Baltar ST ,Canoga Park,91304,Los Angeles,0,1363,7548,3,2,2,0,1957
CROC21099449,24131 Jagger ST ,Lake Forest,92630,Orange,2,1648,5457,3,2,2,0,1977
CRCV21115718,1612 E Lassen ,Chico,95973,Butte,11,999,25700,2,2,2,0,1987
CRNP21107018,1930 Port Locksleigh Place ,Newport Beach,92660,Orange,2,5327,6975,5,6,5,1,2001
ML81845050,124 Army ST ,Pittsburg,94565,Contra Costa,6,1326,5564,3,2,1,1,1943
CRPW21108098,662 Menlo DR ,Big Bear Lake,92315,San Bernardino,3,1449,8400,4,1,0,1,1974
CROC21105434,27498 Jimson CIR ,Temecula,92591,Riverside,1,1487,5663,3,3,2,1,1989
ME202001161,4 Parkwood DR ,Oroville,95966,Butte,11,1260,22216,3,2,2,0,1975
ME221053944,1833 Crestmoor CT ,Ceres,95307,Stanislaus,12,1120,6364,3,3,2,1,1994
CRPW21107377,6016 Sugarwood ST ,Lakewood,90713,Los Angeles,0,1201,5200,2,1,1,0,1950
CNSR21105673,13596 Chesterfield DR ,Moorpark,93021,Ventura,17,2267,6821,4,3,2,1,1987
ME221055520,3750 Bridgeway Lakes Dr ,West Sacramento,95691,Yolo,26,4348,7841,5,4,3,1,2005
ME221053298,8100 Peak Forest WAY ,Elk Grove,95757,Sacramento,4,1569,5001,3,2,2,0,2013
CRDW21109618,5650 Mckinley AVE ,South Gate,90280,Los Angeles,0,2061,7785,3,2,2,0,1947
ML81844695,2828 Carolina AVE ,Redwood City,94061,San Mateo,13,1206,7302,3,1,1,0,1951
CNSR21108049,11937 Calle Vista CT ,,91326,Los Angeles,0,2258,9344,4,2,1,1,1976
BA321041792,4309 Fistor DR ,Santa Rosa,95409,Sonoma,20,1930,6595,3,2,2,0,1999
CC40950397,1126 Peacock Creek Drive ,Clayton,94517,Contra Costa,6,3820,11691,4,3,2,1,1996
CRNDP2105846,621 N Horne ST ,Oceanside,92054,San Diego,5,1050,5227.2,3,1,1,0,1930
CRPW21082753,5629 E Avenida De Vientos ,Anaheim,92807,Orange,2,1012,1414,2,2,1,1,1972
CNSR21106128,1637 N Buena Vista ST ,Burbank,91505,Los Angeles,0,1253,6365,3,2,2,0,1939
CRNDP2105434,7586 Dehesa  Court ,Carlsbad,92009,San Diego,5,1453,228690,3,2,2,0,1979
ME221035316,2619 Regatta LN ,Davis,95618,Yolo,26,3754,11761,4,4,3,1,1993
ME202002238,1233 Rice AVE ,Richvale,95974,Butte,11,1481,16988,3,1,1,0,1929
CRFR21109447,2051 Robin Hood LN ,Merced,95340,Merced,22,2317,8411,3,2,2,0,2002
ME221057117,854 Round Hill DR ,Merced,95348,Merced,22,2334,6578,4,3,2,1,2006
ML81844970,1435 Floyd AVE ,Sunnyvale,94087,Santa Clara,7,1955,7703,4,3,2,1,1960
ML81844251,3121 South CT ,Palo Alto,94306,Santa Clara,7,2820,10960,4,4,3,1,1952
ME221056045,5421 Rockwell RD ,North Highlands,95660,Sacramento,4,1025,5227,3,1,1,0,1954
CROC21098011,29 San Raphael ,Dana Point,92629,Orange,2,2558,6320,3,3,3,0,1989
ML81844613,3891 Elston DR ,San Bruno,94066,San Mateo,13,1160,5000,3,2,2,0,1959
CRSW21093226,37952 Honey Pine RD ,Murrieta,92563,Riverside,1,2277,4792,4,3,3,0,2013
TM21-731738,438 Robinwood DR ,Los Angeles,90049,Los Angeles,0,3900,9289,5,6,5,1,2021
CRSW21108426,2240 N San Gorgonio RD ,Palm Springs,92262,Riverside,1,1260,10454,3,2,2,0,1979
CROC21104609,513 Pecan AVE ,Huntington Beach,92648,Orange,2,2412,2938,3,4,3,1,2000
CRIV21095523,1565 1st ST ,Norco,92860,Riverside,1,2403,21780,3,3,2,1,1986
CRNDP2105864,1891 Centennial WAY ,Escondido,92026,San Diego,5,2329,6277,5,3,3,0,1995
CREV21099807,3064 La Habra AVE ,Hemet,92545,Riverside,1,1216,3485,2,2,2,0,1989
ME221052815,134 Adaire LN ,Tracy,95377,San Joaquin,10,2652,9065,5,3,3,0,2001
ME221053574,303 W Tuscan LN ,Mountain House,95391,San Joaquin,10,1867,4818,3,3,2,1,2013
ME202002534,2592 Dewberry ,Redding,96003,Shasta,37,1315,7841,3,2,2,0,1998
EB40949537,711 Central Park Pl ,Brentwood,94513,Contra Costa,6,1519,5100,2,2,2,0,1996
ML81844904,2237 Wexford AVE ,South San Francisco,94080,San Mateo,13,2500,6000,5,3,3,0,1968
CRNDP2106147,5527 Calumet AVE ,La Jolla,92037,San Diego,5,2972,4993,5,5,4,1,1962
ME221044962,611 Packard Dr. ,Grass Valley,95945,Nevada,27,1270,6058,3,2,2,0,1974
ME221058026,39340 Kearsarge Mill RD ,Alta,95701,Placer,9,3853,448668,3,4,4,0,2003
CC40950605,85 Wildcat Way ,Clayton,94517,Contra Costa,6,3454,11960,5,4,3,1,1995
CRSB21108145,1500 Carver ST ,Redondo Beach,90278,Los Angeles,0,1536,4011,3,3,2,1,1980
ME221055475,614 Mill Place ,Jackson,95642,Amador,34,1495,6098,3,2,2,0,1988
ME221041441,1672 Andover LN ,Lincoln,95648,Placer,9,1161,5924,2,2,2,0,2000
CREV21106518,319 Sunset DR ,Lake Arrowhead,92352,San Bernardino,3,1514,9500,3,1,1,0,1936
CNSR21105860,5712 Colbath AVE ,Van Nuys,91401,Los Angeles,0,1879,6751,3,2,2,0,1949
CRV1-5640,3124 Entrada DR ,Ventura,93003,Ventura,17,1293,5600,4,1,1,0,1955
ME221058271,6557 Nicholas DR ,Winton,95388,Merced,22,1475,6321,3,2,2,0,2005
CRIG21098473,16102 Feltham CIR ,Westminster,92683,Orange,2,1612,6000,3,2,2,0,1977
CRSN21104782,1528 Boucher ST ,Chico,95928,Butte,11,1460,6534,2,2,2,0,1946
BA321042674,806 Elderberry LOOP ,Vacaville,95688,Solano,16,2788,11413,4,3,3,0,2007
CRSN21109247,10086 Jones AVE ,Durham,95938,Butte,11,1272,20038,3,2,2,0,1965
CC40950379,18 Reliez Valley Ct ,Lafayette,94549,Contra Costa,6,2897,28000,4,4,2,2,1978
CRSW21100226,24593 New Haven DR ,Murrieta,92562,Riverside,1,1282,5667,3,2,2,0,1987
ML81845408,10371 Westacres DR ,Cupertino,95014,Santa Clara,7,1705,7800,4,2,2,0,1960
CRRS21108798,13044 Hedda LN ,Cerritos,90703,Los Angeles,0,3578,7036,6,5,4,1,1971
CC40951307,255 Donald Dr ,Moraga,94556,Contra Costa,6,2486,91000,3,2,2,0,1986
CNSR21098606,38425 Cougar ,Palmdale,93551,Los Angeles,0,1871,8417,4,3,2,1,1995
CRRS21100038,2845 Hackett AVE ,Long Beach,90815,Los Angeles,0,1617,5290,3,2,2,0,1951
CRIV21106346,1380 Cadwell CT ,Riverside,92506,Riverside,1,2012,10454,4,1,1,0,1972
ME221053081,8250 Point Arena CT ,Sacramento,95828,Sacramento,4,1343,5306,2,2,2,0,1993
BA321057730,1505 S Dora ST ,Ukiah,95482,Mendocino,35,1209,7000,3,1,1,0,1986
ME221056501,1781 Audubon Hill PL ,Lincoln,95648,Placer,9,1935,8925,2,2,2,0,2005
CROC21112126,25601 Hazelnut LN ,Lake Forest,92630,Orange,2,2388,6042,4,3,3,0,1977
CNSR21111989,1637 Renee ST ,Lancaster,93535,Los Angeles,0,1303,6390,3,3,3,0,1988
ME221055876,1705 Loreto CT ,Modesto,95355,Stanislaus,12,1194,12040,4,2,1,1,1973
ML81844605,1185 Lerwick CT ,Sunnyvale,94087,Santa Clara,7,2032,9219,3,2,2,0,1955
ME221055500,973 Friguglietti ,Los Banos,93635,Merced,22,1191,6037,3,2,2,0,1999
CROC21105712,309 Camino De La Luna ,Perris,92571,Riverside,1,2360,4792,5,3,3,0,2003
CRSW21111990,29401 Cottage CT ,Menifee,92584,Riverside,1,2050,7841,4,3,2,1,2010
ME221053229,9024 Pinto Canyon WAY ,Roseville,95747,Placer,9,1894,6155,4,2,2,0,2000
TM21-733444,1686 W Andes DR ,Upland,91784,San Bernardino,3,2337,7100,4,3,3,0,2000
EB40950824,5120 Pawnee Dr ,Antioch,94531,Contra Costa,6,1382,6900,3,3,2,1,1992
CC40950808,918 Raintree Pl ,Lafayette,94549,Contra Costa,6,3672,55708,4,5,4,1,2019
CRNDP2105190,142 Unity LN ,San Marcos,92078,San Diego,5,3009,29189,5,4,3,1,2018
BE40950301,31316 Santa Cruz ,Union City,94587,Alameda,8,1396,5928,3,2,2,0,1970
ME202100583,395 Hazel ST ,Gridley,95948,Butte,11,2072,4356,5,2,2,0,1912
CROC21106752,25727 Admiralty CT ,San Juan Capistrano,92675,Orange,2,1417,3362,3,2,2,0,1976
CNSR21108623,8336 Redwood BLVD ,California City,93505,Kern,32,1823,9818,3,2,2,0,2006
TM21-733778,1740 Licho WAY ,Oxnard,93030,Ventura,17,1544,3640,3,3,2,1,1999
BA321054281,448 N Washington ST ,Cloverdale,95425,Sonoma,20,1088,5401,3,2,2,0,1953
CNSR21102590,9726 Kessler AVE ,Chatsworth,91311,Los Angeles,0,1391,7559,3,2,2,0,1957
BE40950883,2030 Park Arroyo Pl ,Hayward,94545,Alameda,8,1738,6020,3,3,2,1,1991
ML81845230,15726 Oak Knoll DR ,Los Gatos,95030,Santa Clara,7,3412,18417.17,4,4,3,1,1885
CROC21033919,20 N Vista De Catalina ,Laguna Beach,92651,Orange,2,3611,7200,4,4,3,1,1969
CRNDP2105420,8078 Camino Montego ,Carlsbad,92009,San Diego,5,4040,13939.2,5,4,4,0,2003
CRSW21107092,660 Spring DR ,Cedarpines Park,92322,San Bernardino,3,1940,12400,3,2,2,0,1936
ME221053740,233 Torino CT ,Merced,95341,Merced,22,1474,216275400,3,2,2,0,2006
ML81845076,1062 Lorne WAY ,Sunnyvale,94087,Santa Clara,7,1414,6319,3,2,2,0,1957
ME221053474,6005 Shale Rock CT ,Elk Grove,95758,Sacramento,4,2578,7270,5,3,3,0,1990
ML81844277,2100 Burlwood DR ,Hollister,95023,San Benito,33,1350,6538,3,2,2,0,1997
ML81844968,1300 Versailles DR ,Hollister,95023,San Benito,33,2000,7420,3,3,2,1,1988
CRSW21095358,27819 Rosemary ST ,Murrieta,92563,Riverside,1,2684,7405,4,2,1,1,2003
CRNP21100316,9437 Carlynn PL ,Tujunga,91042,Los Angeles,0,1709,10396,4,2,2,0,1969
CC40946718,5523 Belarus St ,Danville,94506,Contra Costa,6,2100,6722,3,2,2,0,2013
CRNP21101228,9412 Breakwater CIR ,Huntington Beach,92646,Orange,2,2586,5520,4,2,2,0,1969
CC40950435,3364 Mildred Ln ,Lafayette,94549,Contra Costa,6,1428,10880,3,2,2,0,1954
CRSW21100209,23753 Morning Glory DR ,Murrieta,92562,Riverside,1,2687,8712,5,3,2,1,2002
CROC21107113,17420 Stark AVE ,Cerritos,90703,Los Angeles,0,2352,5241,4,3,3,0,1973
CNSR21105915,27072 Cherry Willow DR ,Canyon Country,91387,Los Angeles,0,2238,4739,4,3,3,0,2008
ME221056578,100 Prospect CT ,Nevada City,95959,Nevada,27,2300,19602,3,3,2,1,1985
CRPW21110226,60 Painted Sky ,Irvine,92602,Orange,2,2059,4000,4,3,3,0,2017
EB40950668,1451 Paradise Ln ,Brentwood,94513,Contra Costa,6,1801,6611,3,2,2,0,2005
BA321034948,5021 Rowe DR ,Fairfield,94533,Solano,16,1973,4604,4,3,2,1,2002
ME221046395,14296 Tim Burr LN ,Grass Valley,95945,Nevada,27,1399,45738,3,2,2,0,1975
CRWS21106042,7348 Berne ST ,Rosemead,91770,Los Angeles,0,2959,6325,5,4,4,0,1994
EB40950389,8359 Iris St ,Oakland,94605,Alameda,8,1180,4921,3,1,1,0,1926
CC40950645,6109 Outlook Ave ,Oakland,94605,Alameda,8,1509,6148,2,1,1,0,1939
ME221054436,3313 Gray Mare WAY ,Antelope,95843,Sacramento,4,2134,5663,4,3,3,0,1989
CRPW21109541,17542 Edgewood LN ,Yorba Linda,92886,Orange,2,4000,6748,4,4,3,1,2003
BA321053483,8 Turtle Rock CT ,Tiburon,94920,Marin,15,5028,27717,5,5,4,1,1993
CRNP21120269,2000 Port Ramsgate PL ,Newport Beach,92660,Orange,2,3261,7912,5,5,4,1,1969
ME221054165,1005 Arroyo Hondo Pl ,Modesto,95358,Stanislaus,12,1788,4791,4,2,2,0,1992
ML81844825,1280 Clearview DR ,Hollister,95023,San Benito,33,1801,6299,4,2,2,0,1996
BE40951303,939 Foothill Dr ,Daly City,94015,San Mateo,13,910,14965,2,1,1,0,1948
ME202001848,1835 6th ST ,Oroville,95965,Butte,11,1116,17860,3,2,2,0,1977
CRPW21105736,3514 Josie AVE ,Long Beach,90808,Los Angeles,0,1477,5501,4,1,1,0,1953
CRIV21109552,37032 Old Mill Creek RD ,Mentone,92359,San Bernardino,3,794,8700,2,1,1,0,1943
CNSR21106053,14064 Fenton LN ,Sylmar,91342,Los Angeles,0,1268,329914,2,2,2,0,1978
EB40950994,1587 Rutherford Lane ,Oakley,94561,Contra Costa,6,1804,6500,3,2,2,0,1990
CNSR21101911,15351 Haynes ST ,Van Nuys,91406,Los Angeles,0,3500,10858,5,2,2,0,1974
CC40950567,17 Attri Ct ,Lafayette,94549,Contra Costa,6,2448,13939,5,3,3,0,1964
ME221053347,1058 Broken Spur WAY ,Plumas Lake,95961,Yuba,18,2072,10890,4,3,3,0,2004
CRPW21051843,1225 N Hazard AVE ,Los Angeles,90063,Los Angeles,0,1223,5663,2,1,1,0,1937
CROC21108604,27221 Calle Delgado ,San Juan Capistrano,92675,Orange,2,3190,9660,4,3,3,0,1976
CNSR21109220,10412 Windtree DR ,Los Angeles,90077,Los Angeles,0,3000,126862,4,4,3,1,1978
CRCV21119023,15456 SANDHURST ,Fontana,92336,San Bernardino,3,1350,6000,4,2,2,0,1986
TM21-723988,912 Avenue 57 ,Los Angeles,90042,Los Angeles,0,1114,5370,3,1,1,0,1912
ME221045423,248 Chambers DR ,Lincoln,95648,Placer,9,1916,6909,3,2,2,0,2000
ME221058190,1624 Barn Valley LN ,Lincoln,95648,Placer,9,1791,7623,2,2,2,0,2000
CROC21108868,1863 Irvine AVE ,Newport Beach,92660,Orange,2,4099,17888,4,4,3,1,1965
ML81844930,7701 Wasabi WAY ,Gilroy,95020,Santa Clara,7,2132,3532,3,3,3,0,2015
ME221052939,882 SAN ARDO WAY ,Mountain View,94043,Santa Clara,7,1692,5952,3,2,2,0,1962
ME221054397,1972 Amber Fields WAY ,Roseville,95747,Placer,9,1331,4208,3,3,2,1,2002
EB40950280,4310 Barrett Ave ,Richmond,94805,Contra Costa,6,2499,5000,5,3,3,0,1942
CRSB21129280,735 Lomita ST ,,90245,Los Angeles,0,1560,6562,3,2,2,0,1948
CRPI21110591,255 N 11th ST ,Grover Beach,93433,San Luis Obispo,14,750,5000,2,2,2,0,1953
CRSB21111235,360 Clemente AVE B36,Avalon,90704,Los Angeles,0,1218,46955,2,2,2,0,1978
CRPI21110177,801 W Elaine AVE ,Santa Maria,93458,Santa Barbara,31,2729,5227,4,3,3,0,2015
CNSR21109296,44116 Pagoda WAY ,Lancaster,93536,Los Angeles,0,1750,6534,4,2,2,0,2020
ME221055719,8558 Fairmont WAY ,Fair Oaks,95628,Sacramento,4,1560,12197,4,2,2,0,1960
BA321054683,138 Silverado Springs DR ,Napa,94558,Napa,30,2494,8489,3,2,2,0,1990
ME221053208,1018 California AVE ,Dos Palos,93620,Merced,22,1561,14810,3,2,2,0,1961
CROC21092635,24 Paseo Canos ,San Clemente,92673,Orange,2,2300,5083,3,3,2,1,2008
ML81844877,7245 Glenview DR ,San Jose,95120,Santa Clara,7,4077,36687,4,5,4,1,2001
ME221053244,1207 Waverton LN ,Lincoln,95648,Placer,9,2218,6177,4,3,2,1,2006
CC40950607,1828 Alvarado Ave ,Walnut Creek,94597,Contra Costa,6,1584,15678,3,2,1,1,1951
ME221055150,3480 Gold Ridge TRL ,Pollock Pines,95726,El Dorado,19,1288,11326,3,2,2,0,1994
BE40951460,3381 Cheryl Ct ,Tracy,95376,San Joaquin,10,1817,6500,4,3,2,1,1998
ML81845358,1662 Ivy LN ,Tracy,95376,San Joaquin,10,2643,5500,5,3,3,0,2021
ME202100666,2771 Ivorty Mill 308 RD ,Elk Creek,95939,Glenn,41,1572,4411757,3,2,2,0,2001
CRPW21110568,5540 Camino Tecate ,Yorba Linda,92887,Orange,2,2600,7500,4,3,3,0,1987
CRPTP2103564,9362 E Heaney CIR ,Santee,92071,San Diego,5,1364,6900,3,2,2,0,1960
CRNDP2104666,1025 Angus CT ,San Marcos,92069,San Diego,5,1712,10300,4,3,2,1,1975
CRCV21106546,4312 Kathy AVE ,Riverside,92509,Riverside,1,1008,7405,3,2,1,1,1958
ME221053060,3433 Fairway DR ,Cameron Park,95682,El Dorado,19,1823,16988,3,2,2,0,1977
BA321041285,1707 Center RD ,Novato,94947,Marin,15,1329,7240,4,2,2,0,1954
ME221054609,2824 Vestrella DR ,Modesto,95356,Stanislaus,12,2726,6242,5,3,3,0,2001
CROC21106957,17090 La Vesu Rd ,Fontana,92337,San Bernardino,3,3099,6000,6,3,3,0,1999
CRPTP2103565,11 N S AVE ,National City,91950,San Diego,5,2482,5300,6,3,3,0,1956
CRND21106257,137 Canyon Creek WAY ,Oceanside,92057,San Diego,5,2150,5935,4,3,2,1,2003
CRJT21105353,7695 Rockaway AVE ,Yucca Valley,92284,San Bernardino,3,1765,20615,3,2,2,0,2005
BE40950407,1225 Arlington Rd ,Livermore,94551,Alameda,8,1559,6000,3,2,2,0,1967
CC40950373,1039 Buchan Drive ,Lafayette,94549,Contra Costa,6,2140,10070,4,2,2,0,1954
CRSW21109284,39055 Via Las Sintras ,Murrieta,92562,Riverside,1,1842,7841,4,3,2,1,1988
CRNDP2105495,925 Daisy Ave ,Carlsbad,92011,San Diego,5,1910,8100,3,1,1,0,1978
ME221055618,4098 Tenaja WAY ,Rancho Cordova,95742,Sacramento,4,2925,6747,4,4,3,1,2011
ML81844577,812 Pohono CT ,Tracy,95304,San Joaquin,10,2356,7031,4,4,3,1,2015
CRSB21107171,5418 Halison ST ,Torrance,90503,Los Angeles,0,1120,5311,3,2,2,0,1956
ME221044981,2928 Admiral DR ,Stockton,95209,San Joaquin,10,1655,6630,3,2,2,0,1980
ME221051320,5079 Pasadena AVE ,Sacramento,95841,Sacramento,4,1788,20038,3,3,2,1,1985
CRIG21108529,36051 Lipizzan LN ,Wildomar,92595,Riverside,1,3450,10019,5,3,3,0,2005
CRPTP2103414,1224 Bodega Bay DR ,Chula Vista,91915,San Diego,5,2472,5282,4,3,3,0,1994
BA321035179,4254 Dry Creek RD ,Napa,94558,Napa,30,3307,673873,3,4,3,1,1950
ME221053324,5949 Raymond WAY ,Sacramento,95820,Sacramento,4,1134,5227,2,2,1,1,1948
CROC21110732,25912 Wicklow LN ,Lake Forest,92630,Orange,2,1222,3420,2,2,2,0,1985
BA321042074,723 Alta Vista RD ,Mill Valley,94941,Marin,15,1388,5998,2,2,2,0,1947
CRMC21107802,195 E 27th ST ,Merced,95340,Merced,22,1634,7405,2,2,2,0,1938
ME221055724,3708 Jasmine ST ,Sacramento,95838,Sacramento,4,1256,4792,3,2,2,0,1946
CRPI21105873,1431 Trail View PL ,Nipomo,93444,San Luis Obispo,14,2181,8203,2,3,2,1,2014
ML81844462,3329 Hacienda WAY ,Antioch,94509,Contra Costa,6,1597,6820,3,2,2,0,1973
ME221049406,745 Julian ST ,Turlock,95380,Stanislaus,12,832,8320,2,1,1,0,1952
BA321056915,42 Birch ,Corte Madera,94925,Marin,15,1360,6508,3,2,2,0,1957
ME221054181,7324 South Land Park Dr ,Sacramento,95831,Sacramento,4,2161,7841,3,3,2,1,1965
BE40948381,944 Marcella Ct ,Concord,94518,Contra Costa,6,1459,6800,3,2,2,0,1979
CNSR21102362,4855 Louise AVE ,Encino,91316,Los Angeles,0,3560,17711,4,3,2,1,1950
ML81844545,1 Mentone RD ,Carmel,93923,Monterey,24,2348,65340,4,3,2,1,1964
CRIV21107049,32833 Northshire CIR ,Temecula,92592,Riverside,1,3153,7405,4,3,3,0,2004
CREV21107026,23682 Lakeview DR ,Crestline,92325,San Bernardino,3,1740,5290,4,2,2,0,1979
CNSR21105945,9800 Oakdale AVE ,Chatsworth,91311,Los Angeles,0,1894,7601,3,2,2,0,1958
CRCV21092298,549 N Foxdale AVE ,West Covina,91790,Los Angeles,0,1241,7168,3,2,2,0,1955
ML81846280,5958 Monteverde DR ,San Jose,95120,Santa Clara,7,2008,8391,4,3,2,1,1973
ML81844895,201 Loma Alta AVE ,Los Gatos,95030,Santa Clara,7,2555,7500,3,3,2,1,1996
CRIV21089482,26030 Coronada DR ,Moreno Valley,92555,Riverside,1,2754,7405,4,3,2,1,1987
CRV1-5982,1009 Grandview AVE ,Ojai,93023,Ventura,17,1840,8008,3,2,2,0,1958
BA321045027,211 Fairway DR ,Novato,94949,Marin,15,2321,17873,3,3,3,0,1974
BE40956574,1111 Fountain St ,Alameda,94501,Alameda,8,1613,3300,4,2,2,0,1923
CRPTP2103326,9803 Grosalia AVE ,La Mesa,91941,San Diego,5,1942,16604,4,2,2,0,1963
ME221052959,939 K ST ,Davis,95616,Yolo,26,1260,7135,3,2,2,0,1964
CRSW21108843,28805 Corte Suerte ,Menifee,92584,Riverside,1,1329,6970,3,2,2,0,1989
CNSR21106882,30496 Passageway PL P1,Agoura Hills,91301,Los Angeles,0,1614,4034,2,3,2,1,1980
ME602147,7871 Garden HWY ,Yuba City,95991,Sutter,23,3080,60548,5,4,4,0,1912
BA321046703,2378 10 Gate RD ,Fairfield,94534,Solano,16,1900,5746,4,3,2,1,1992
CROC21104925,208 S Monte Vista ST ,La Habra,90631,Orange,2,620,6250,2,1,1,0,1930
CRIV21101272,20249 Edmund RD ,Riverside,92508,Riverside,1,1550,7405,4,2,2,0,1991
BA321024324,44 Sunshine AVE ,Sausalito,94965,Marin,15,4845,11565,5,6,5,1,1901
CRPTP2103214,10349 Paseo Palmas ,Lakeside,92040,San Diego,5,1971,6285,4,3,3,0,1985
CRSN21056943,42 El Cerrito DR ,Chico,95973,Butte,11,1709,10019,3,2,2,0,1967
CRSW21107130,43100 Jason CT ,Hemet,92544,Riverside,1,2508,43560,4,2,2,0,1979
CRCV21109262,717 Cedar View DR ,Beaumont,92223,Riverside,1,2143,6098,3,3,3,0,2004
ME221053010,4007 Arco Del Paso LN ,Sacramento,95834,Sacramento,4,1532,3223,2,2,2,0,2016
CROC21109678,33771 Cabrillo ,Dana Point,92629,Orange,2,2650,9000,2,3,2,1,1975
ME221031482,1510 Sutter Creek DR ,El Dorado Hills,95762,El Dorado,19,1804,10019,3,3,2,1,1989
CRND21109444,9709 Hinsdale ST ,Santee,92071,San Diego,5,1437,6477,3,2,2,0,1900
CRPI21104839,819 Pearl DR ,Arroyo Grande,93420,San Luis Obispo,14,1862,5850,4,3,3,0,1961
CRPW21108682,5488 E The Toledo ,Long Beach,90803,Los Angeles,0,3386,4094,5,2,2,0,1955
CNSR21105831,6108 Sandwood WAY ,Palmdale,93552,Los Angeles,0,2988,7703,4,3,3,0,2005
CRSN21100599,8 Freda CT ,Chico,95928,Butte,11,1377,8276,3,2,2,0,1989
CRIV21106265,10449 Nighthawk CT ,Moreno Valley,92557,Riverside,1,2232,4792,4,3,3,0,2017
CRSW21107149,29364 Owl Creek CT ,Menifee,92584,Riverside,1,2255,7000,4,3,2,1,2005
BE40950887,861 Mayview Way ,Livermore,94550,Alameda,8,1786,6000,3,3,3,0,1966
ME221053602,1022 Wailea WAY ,Roseville,95747,Placer,9,1406,7558,3,2,2,0,1994
CRMB21111401,1410 S Marianna AVE ,Los Angeles,90040,Los Angeles,0,863,3123,2,1,1,0,1942
CRPW21099069,2783 Mendoza DR ,Costa Mesa,92626,Orange,2,1867,6882,4,2,2,0,1964
BA321044866,2217 Hillridge DR ,Fairfield,94534,Solano,16,3208,16043,4,4,3,1,1992
CRMD21126099,39217 Quail ,Bass Lake,93604,Madera,28,2246,8798,5,2,2,0,1943
CRPI21106689,4923 Sparrow Hawk LN ,Paso Robles,93446,San Luis Obispo,14,1248,4750,3,2,2,0,1980
ME221047872,5230 Luttig CT ,Elk Grove,95757,Sacramento,4,2713,10855,3,4,3,1,2005
CC40950510,10 Glen Alpine ,Danville,94526,Contra Costa,6,4123,115434,5,5,4,1,1979
BA321045648,3700 Deauville PL ,Santa Rosa,95403,Sonoma,20,2717,10480,4,3,3,0,2021
CC40951619,673 Rock Oak Rd ,Walnut Creek,94598,Contra Costa,6,2167,12160,4,3,2,1,1968
CRSB21101570,15961 Miami WAY ,Pacific Palisades,90272,Los Angeles,0,1898,6313,3,2,2,0,1941
TM21-734856,23331 Malibu Colony RD 114A,Malibu,90265,Los Angeles,0,1518,11980,2,2,1,1,1973
CRPW21068803,18902 El Moro WAY ,Villa Park,92861,Orange,2,2608,24699,4,3,3,0,1964
CNSR21105788,5254 Buffalo AVE ,Sherman Oaks,91401,Los Angeles,0,1658,6850,3,2,2,0,1950
CRV1-6066,909 Sylvia AVE ,Ridgecrest,93555,Kern,32,2908,10454,4,4,3,1,1973
ME221057963,9203 N El Dorado ST ,Stockton,95210,San Joaquin,10,1255,6499,3,2,2,0,1961
ME221052490,4920 Escondito Court ,Camino,95709,El Dorado,19,1724,130680,3,2,2,0,1988
ML81844738,1035 Palm ST ,San Jose,95110,Santa Clara,7,1506,4492,3,2,2,0,1949
SF421553599,165 Windsor ,Daly City,94015,San Mateo,13,2218,3400,4,2,2,0,1951
CC40951335,86 Hillview Dr ,Danville,94506,Contra Costa,6,2780,9490,5,3,3,0,1991
BE40951886,4250 Azores Ct ,Livermore,94550,Alameda,8,2727,9615,5,3,3,0,2007
CRSC21109883,4499 Spanish Oaks DR ,San Luis Obispo,93401,San Luis Obispo,14,2931,10534,4,4,3,1,2003
ME201904207,8839 Pass RD ,Sutter,95982,Sutter,23,1080,13068,2,2,2,0,1956
CRNDP2105638,1690 Madrone Gln ,Escondido,92027,San Diego,5,1072,4751,2,2,2,0,1987
CROC21095700,16990 Monterey RD ,Lake Elsinore,92530,Riverside,1,3388,99752,4,4,3,1,1991
BA321047381,1518 James ST ,Fairfield,94533,Solano,16,1014,6098,3,1,1,0,1959
CRCV21079380,19712 Cameron AVE ,Covina,91724,Los Angeles,0,4028,43018,4,4,4,0,1960
